target	regulator	weight	condition	effect
Elk3	2610507B11Rik	0.029723035379999995	Doc_Spleen_d28	0.3430165015013869
Arl4c	Pts	0.01850193919	Doc_Spleen_d28	0.631404539440873
Elk3	Cbx7	0.01840323998	Doc_Spleen_d28	0.11801276047091346
Elk3	Purb	0.018264951780000004	Doc_Spleen_d28	0.5134545692511284
Hcst	Odc1	0.01786009227	Doc_Spleen_d28	0.43541214513562015
Elk3	Cops3	0.017628004420000003	Doc_Spleen_d28	0.3476383841863749
Elk3	Tor2a	0.0161166173	Doc_Spleen_d28	0.3698966993141625
S100a4	Acp5	0.015802939539999998	Doc_Spleen_d28	0.38986950233812717
Elk3	Ssr3	0.015757833690000004	Doc_Spleen_d28	0.1375823366283455
Crip1	Prr13	0.015125819320000001	Doc_Spleen_d28	0.6484089093870046
Elk3	Mri1	0.014950137050000001	Doc_Spleen_d28	0.5217037040467357
Arl4c	Npm3	0.01471793878	Doc_Spleen_d28	0.5677148179577236
S100a4	Plec	0.01422810354	Doc_Spleen_d28	0.35113009606583434
S100a4	Mtch2	0.014007671200000002	Doc_Spleen_d28	0.3835930510087728
S100a4	Emp3	0.011968452309999999	Doc_Spleen_d28	0.5556973911037844
AU020206	Nsfl1c	0.01186307165	Doc_Spleen_d28	0.5669877338238014
Pdcd4	Vps4b	0.011823781209999999	Arm_Spleen_d28	0.24490159111704918
Dnajc15	Cyth4	0.011774618900000002	Arm_Spleen_d28	0.2652700143589874
Il7r	Zfp639	0.01154010802	Arm_Spleen_d28	-0.19250877778617384
S100a4	Dctn2	0.01114784753	Doc_Spleen_d28	0.31161307394471877
Batf	Ddx24	0.01089928659	Doc_Spleen_d28	0.8264301383023223
Hcst	Atad2	0.010757932549999998	Doc_Spleen_d28	0.49980459736313054
Adgre5	Arf4	0.0105569623	Arm_Spleen_d28	0.33726785606778753
Elk3	Pcm1	0.010467783310000001	Doc_Spleen_d28	0.21725113739953106
Cd9	Zfp207	0.010412204659999999	Doc_Spleen_d28	0.5884779234584869
Hcst	Smim8	0.01031724953	Doc_Spleen_d28	0.4983561537406116
Arl4c	Polr2l	0.01026933328	Doc_Spleen_d28	0.5149299460755896
Sidt1	Elmo1	0.01026436254	Arm_Spleen_d28	0.26338809542074293
Dnajc15	Emc7	0.010191804239999998	Doc_Spleen_d28	0.4918523181975834
Syt11	Glrx3	0.01017082985	Doc_Spleen_d28	0.4337992317279751
Arl4c	Itga4	0.01002850673	Doc_Spleen_d28	0.9904840435388145
Arl4c	Anxa6	0.01002102025	Doc_Spleen_d28	0.6966138938647971
Arl4c	Acadl	0.00981494011	Doc_Spleen_d28	0.5235665251053082
Bola2	Ube2h	0.00976128671	Doc_Spleen_d28	0.4692456737513572
Crip1	Wdr26	0.00975970403	Doc_Spleen_d28	0.3926384162483028
Arl4c	Esyt1	0.009732009650000002	Doc_Spleen_d28	0.43889819680146314
S100a4	Lgals1	0.00973135139	Doc_Spleen_d28	0.5738247916114754
S100a4	Itgb7	0.009670692040000001	Doc_Spleen_d28	0.3103613556962043
Elk3	Lgals9	0.009622161570000001	Doc_Spleen_d28	0.2599438628517733
Tox	Mlec	0.00961227982	Arm_Spleen_d28	0.340512610421243
Tox	P2rx7	0.00955835144	Arm_Spleen_d28	0.33321257111042096
Crip1	Atxn7l3b	0.00953379672	Doc_Spleen_d28	0.44748418799115675
Elk3	Ctsd	0.00952241958	Doc_Spleen_d28	0.40964020061097656
Hcst	Aurkaip1	0.00944877511	Doc_Spleen_d28	0.47485955741076996
Bola2	Isy1	0.00941043183	Doc_Spleen_d28	0.3828069842067257
Elk3	Slirp	0.00940632205	Doc_Spleen_d28	0.4892016423994693
Hcst	Mknk2	0.00923014585	Doc_Spleen_d28	0.5099704074776917
Cd9	Pdcd10	0.00909500483	Doc_Spleen_d28	0.5393481031847025
Crip1	Dnajc15	0.008977825550000002	Arm_Spleen_d28	0.4246407661430823
Hcst	Laptm4a	0.008961821540000001	Doc_Spleen_d28	0.597969533471529
Ikzf2	Las1l	0.008867293259999999	Arm_Spleen_d28	0.36031622328907364
Crip1	Atp2b1	0.00885304832	Doc_Spleen_d28	0.5127772257368552
Hif1a	Ggnbp2	0.00879737633	Doc_Spleen_d28	0.7910881852221361
Elk3	1110008P14Rik	0.00869642154	Doc_Spleen_d28	0.10415930790473148
Hcst	Ndufb4	0.008692029970000001	Doc_Spleen_d28	0.598281208731415
Adgre5	Gspt1	0.00868490869	Arm_Spleen_d28	-0.16274541268942397
Hcst	Hp1bp3	0.00867189589	Doc_Spleen_d28	0.6386490058165125
Elk3	Xpo1	0.00864993507	Doc_Spleen_d28	0.3789456412138858
S100a4	Rnf5	0.00864720327	Doc_Spleen_d28	0.396900435882971
Hcst	Grb2	0.00859476457	Doc_Spleen_d28	0.6026650501966464
Hcst	Trir	0.008467775520000002	Doc_Spleen_d28	0.6599831786448831
Elk3	Rapgef1	0.00844776556	Doc_Spleen_d28	0.3140571683935821
Crip1	S100a11	0.00828353212	Doc_Spleen_d28	0.5038404658273465
Arl4c	Capn1	0.008236654569999998	Doc_Spleen_d28	0.5477732756973869
Hcst	Uqcrfs1	0.008216325629999998	Doc_Spleen_d28	0.5798776318875218
Ikzf2	P2rx7	0.00818662372	Arm_Spleen_d28	0.503697220364993
Arl4c	Samm50	0.008168919189999999	Doc_Spleen_d28	0.669237873721731
Tox	Dnajc15	0.0081666687	Arm_Spleen_d28	-0.3560117890476258
Hcst	Shoc2	0.008133132849999999	Doc_Spleen_d28	0.5150074614364247
Il7r	Paics	0.00806510844	Doc_Spleen_d28	0.5317132024754778
Bola2	Rbm4b	0.0079463438	Doc_Spleen_d28	0.36254370648823164
Arl4c	Itgb1	0.00789325468	Doc_Spleen_d28	1.0643223415880239
Uba52	Rab11b	0.007817623870000002	Doc_Spleen_d28	0.24461523859190185
S100a4	Magoh	0.00781380541	Doc_Spleen_d28	0.2672848820287381
Batf	Cmc1	0.00779981218	Doc_Spleen_d28	0.7810666814479268
Cd9	Ube2h	0.00766189827	Doc_Spleen_d28	0.49539358875294487
Syt11	Ctbp1	0.00760977096	Doc_Spleen_d28	0.47944967429869534
Tox	Tnfsf8	0.007554910960000001	Doc_Spleen_d28	0.4397495249229434
Hcst	Ets1	0.00753761681	Doc_Spleen_d28	0.8936214400494839
AU020206	Mettl26	0.00753592521	Doc_Spleen_d28	0.4634835862563731
Batf	Frg1	0.007533685700000001	Doc_Spleen_d28	0.8831487822507508
Bola2	B230219D22Rik	0.0074732138000000005	Doc_Spleen_d28	0.44412488301698305
Arap2	Mtpn	0.00746366364	Arm_Spleen_d28	0.4631038656094236
Crip1	Apopt1	0.00746109946	Doc_Spleen_d28	0.08618701116766952
Dnajc15	Usf2	0.00739308588	Doc_Spleen_d28	0.5326530497744212
AU020206	Ppm1b	0.0073926361	Doc_Spleen_d28	0.44674060068548627
Cd9	Esyt1	0.00739007595	Doc_Spleen_d28	0.3593230532071652
AU020206	Tgoln1	0.007377504269999999	Doc_Spleen_d28	0.6199836687777188
Dnajc15	Sf3b3	0.0073684684	Doc_Spleen_d28	0.4964923130757838
Arl4c	Sfr1	0.007350688980000001	Doc_Spleen_d28	0.5971075319466204
Bola2	Thap3	0.007299323690000001	Doc_Spleen_d28	0.3546563006877821
Il7r	Vasp	0.00724771202	Doc_Spleen_d28	0.6168421366169776
Elk3	Tnfaip8l2	0.00716802182	Doc_Spleen_d28	0.193161788796604
Cd9	Dhrs7	0.00713938457	Doc_Spleen_d28	0.49338577981828097
Elk3	Fam53a	0.0071166130400000015	Doc_Spleen_d28	0.3166077117373329
Batf	Nedd8	0.007111505109999999	Doc_Spleen_d28	0.9452806405139387
Tox	Tuba1b	0.007108149060000001	Doc_Spleen_d28	0.5145159716266543
Bola2	Idnk	0.0071052684500000005	Doc_Spleen_d28	0.3845056740367174
Sidt1	Tmem71	0.00707293178	Arm_Spleen_d28	0.30107508454525084
AU020206	Polr2c	0.007054937129999999	Doc_Spleen_d28	0.5103393480194319
