target	TF	weight	effect
MT-CO2	MT-CO3	38.478987602379775	1.0542662257670634
MT-CO1	MT-CO3	38.04021065363887	0.9346089017220289
MT-ATP6	MT-ND4	37.417621558794444	0.8046893112576746
IFI27L2A	LY6A	35.7930439962994	1.331134201330096
TRBC2	TRAC	33.9946037899035	1.0041492263298692
MT-CO1	MT-ND4	33.71905696733337	0.7169355859417138
MT-ND4	MT-CO1	33.28912979648851	1.2280279776007457
TRAC	TRBC2	32.9337906685634	0.7949409953041409
RPS12	RPS28	31.368508380949784	1.0166162857936463
RPS12	RPL12	31.092345654887982	0.9812236947860753
MT-CO3	MT-ND4	31.065658099066304	0.7310710285145066
MT-CO3	MT-CO2	30.591871584227032	0.8897827880084094
IKZF2	ARAP2	30.056264583050098	1.1452328092286281
RPS12	EEF1A1	29.40358454341263	1.0199820878378218
TMSB4X	RPS24	29.35804877664116	1.016462916579541
MT-CO3	MT-ATP6	29.205644727134462	0.8693401500681825
RPL32	RPS18	29.063016146890043	1.0497908529656947
RPLP2	RPS14	28.973641403459435	0.9307862287397596
RPL32	RPL37	28.769287768419776	1.0287179802321031
MT-ND4	MT-CO3	28.695081091293197	1.218807683531571
H2-K1	B2M	28.39055064216074	0.9162429747008822
RPL12	RPS19	28.34656836838131	0.8940188266340297
RPL13	RPS3A1	28.273272093746225	0.8545728919708478
MT-ND4	MT-ATP6	28.214276229899053	1.0809529208944508
BTG1	B2M	28.208575866191456	1.1075917295522368
RPL15	RPL11	27.97153159386221	0.9442247952745938
TMSB4X	RPL30	27.916753527159432	1.0535699436277142
TRBC2	H2-K1	27.916082533494624	1.0443313185526468
TMSB10	RPL30	27.48521839756345	0.9910243185774332
RPS15A	RPL35A	27.393088241737267	0.9138158940849188
B2M	H2-D1	27.340191780489743	0.8440128311925662
B2M	H2-K1	27.23403574195736	0.8839311591897234
RPL35A	TPT1	27.219718399766993	0.9762231557596103
RPL10	RPL5	27.164123691192067	0.8794881181166511
H3F3B	B2M	27.12608641561311	0.9153838122139719
RPL12	RPS3A1	27.011701507828565	0.9327850074780009
H2-K1	SHISA5	26.944129763294264	0.7921879026492858
RPS2	RPL15	26.924659189410864	1.0319206500869371
TMSB4X	TMSB10	26.903012764914354	1.01456996272232
TMSB4X	PFN1	26.86094678227945	0.9654298206546571
TMSB10	RPS24	26.799019078130687	0.9403172030395841
RPS5	RPL12	26.58549926959886	0.9681781474618084
RPL12	RPS5	26.483726405893606	0.948802705166844
H2-K1	H2-D1	26.433226573995633	0.8850174492379627
RPL13	RPS10	26.37508188101853	0.9578057804441161
RPL35A	RPS15A	26.315760988135388	1.013523907884804
RPL34	RPL41	26.290986251352102	0.8710459109359602
B2M	TRBC2	26.268053093588538	0.7146429740720935
RPS16	RPL22	26.236637417996356	1.0022762652367385
PRRC2C	MALAT1	26.09773312156441	0.8361167089091602
DDX5	MALAT1	25.979660806047786	0.7066995580084495
XIST	MALAT1	25.926022258997115	0.8895045003430828
EEF1B2	RPSA	25.84801040744413	1.0016007782688845
IFI27L2A	ARAP2	25.834676063180666	1.0500208078137305
RPL36A	RPL7A	25.56712745200845	0.8418193451795586
ITM2B	SHISA5	25.53741321895366	0.8069551264786576
MT-CO1	MT-CO2	25.51594768856743	0.8297230765504292
TMSB10	TMSB4X	25.454060537228624	0.8801577434306547
H2-K1	TRBC2	25.32965873617728	0.7455602702955334
RPLP2	FTH1	25.204357369915982	0.7054863168238765
MT-ATP6	MT-CO3	25.12640611020739	1.078913930908091
RPS25	RPS8	25.071710934020246	0.7350840802271714
RPS5	RPL13A	25.06461504049222	1.0253677715106557
RPS27	RPS3	25.063721799506943	0.8784914045030907
MALAT1	H3F3B	24.981705650700103	0.9816256449935348
RPL15	RPS2	24.91026443355871	0.8329631535941956
ACTG1	PFN1	24.83745915862567	0.8655957434136082
RPS11	MT-ND2	24.751732166993314	0.8587680970533974
LY6E	TRBC2	24.584081972602494	0.8166035312524863
ATP5E	RPL27A	24.55639930525272	0.8340369499458757
RPS4X	RPL17	24.39072868641285	0.9755604021029142
CD52	H2-K1	24.372422522929252	0.7411322249087017
SIDT1	ARL4C	24.268857613305347	0.5716676469892517
RPS20	RPL35	24.191472573800674	1.0881019308629731
GM42418	RPL12	24.17243686007805	0.5793036911268806
MT-ND5	MT-CO1	24.149199422228772	0.9599275332802129
RPL5	RPL10	24.102173811773785	0.9459267833257774
SHISA5	H2-K1	24.018936200829724	0.9970788212357601
RPL14	MYL6	23.984044930154898	1.0054901488728905
LY6A	XIST	23.923370738257628	0.9529184062479469
TOX	IKZF2	23.922903459106628	0.4882323930378495
MT-ATP8	MT-ND4	23.90596581000645	0.9345678614559422
EIF3F	BTF3	23.830741134719823	0.9013590661818204
RPLP0	RPLP1	23.75487561792854	0.9857451698522726
ACTG1	ACTB	23.670959456201697	0.940962603693667
RPL35A	RPL21	23.623672392568142	0.9671898388621888
TRAC	MT-CO1	23.618142279692382	1.0273937037508518
RPS4X	RPS20	23.61071735812888	0.9997118290199033
S100A10	FXYD5	23.599018726726193	0.6673921454206827
RPS4X	RPS21	23.594866261709132	1.134842909309949
MT-CO3	MT-CO1	23.54081248988914	0.9602458237483011
ACTB	RPL36A	23.520655997855606	0.8069635354535801
RPS12	RPS7	23.450986228821304	0.9346408593619633
RPL35A	EEF1A1	23.41911801927611	0.9809373647082199
IFI27L2A	BATF	23.411875081867613	0.9072050768673143
LY6E	TRAC	23.404841320703827	0.9219438061507088
RPL13	RPL26	23.348028768305728	0.8983800470451146
MT-ND4	MT-CO2	23.334514607854082	1.1074834961406104
HIF1A	IKZF2	23.334029112978428	0.6021576566564387
MALAT1	DDX5	23.288811323349627	1.1114713629916153
