target	regulator	weight	condition	effect
S1pr4	Ddx42	0.01609802009	Doc_Liver_d10	0.9924604503254193
Slco3a1	Stk10	0.016074500119999998	Doc_Liver_d10	0.9230727731540934
S1pr1	Nrbp1	0.01598778055	Doc_Liver_d10	1.2278221376973248
Ly6a	Tnfaip3	0.0159876266	Arm_Liver_d10	0.2460312088146611
Itgb7	Sp100	0.01595768686	Doc_Liver_d10	0.8932616046192967
Myo1f	Rbm28	0.01593158375	Doc_Liver_d10	0.8102969442529067
Arhgef18	Pabpn1	0.015912815429999998	Doc_Liver_d10	0.8276304686607755
Ripor2	Fkbp3	0.01577180836	Doc_Liver_d10	0.8930777783001316
S1pr1	Pstpip1	0.01571810379	Doc_Liver_d10	1.2102727779881117
Sdf4	Zfp36	0.015579567150000001	Arm_Liver_d10	0.24651834594560723
Myo1f	Rapgef1	0.015503899869999999	Doc_Liver_d10	0.7752989104738135
Klhl6	Rad21	0.01526067818	Doc_Liver_d10	0.8003243064260254
Ripor2	Ngdn	0.01499974355	Doc_Liver_d10	0.862035584678696
Sdf4	Jun	0.01466108602	Arm_Liver_d10	0.2397328615382865
Stk38	Nfkb1	0.0145853136	Doc_Liver_d10	0.8785600897781387
S1pr4	Cirbp	0.014265177540000002	Doc_Liver_d10	0.9567101139528057
Gas5	Zfp36	0.014104857450000003	Arm_Liver_d10	0.2725613467526121
Stk38	Nudcd3	0.01409966577	Doc_Liver_d10	0.9130042841341673
Slco3a1	Camk2d	0.014046477560000001	Doc_Liver_d10	0.8816848082948384
Ripor2	Zc3h18	0.01399358425	Doc_Liver_d10	0.8397165157615292
Tmem71	Fermt3	0.013967383310000001	Doc_Liver_d10	1.13525732976606
Satb1	Jak2	0.0136920644	Doc_Liver_d10	0.9086935128986275
Stk38	Tnrc6b	0.013581273770000003	Doc_Liver_d10	0.8977186856975751
Ripor2	Ep400	0.013414724960000003	Doc_Liver_d10	0.8728324083918492
Pim1	Fcho2	0.01336600818	Arm_Liver_d10	0.06243938422982478
Itgb7	Herc4	0.013353555009999999	Doc_Liver_d10	0.7451650777625408
Gm2682	Ppil2	0.01329366327	Doc_Liver_d10	0.8243253756880305
Cd52	Tnfaip3	0.013290738149999998	Arm_Liver_d10	0.1993310367834158
Klhl6	Rbm28	0.013253047530000001	Doc_Liver_d10	0.7770951579302569
Ripor2	Mtmr3	0.01309342755	Doc_Liver_d10	0.7989715224100659
Itgb7	Slc50a1	0.01301720506	Doc_Liver_d10	1.00247910740364
Il7r	Tsix	0.013003159249999998	Doc_Liver_d10	1.031882861915886
Slco3a1	Itgal	0.01300010716	Doc_Liver_d10	0.9282754783026802
Pim1	Nbeal2	0.012905522489999998	Arm_Liver_d10	-0.01085703898697719
Odc1	Tnfaip3	0.012823419260000002	Arm_Liver_d10	0.2664273118470614
Itgb7	R3hdm2	0.01278827062	Doc_Liver_d10	0.9258290111006399
Myo1f	Tuba1a	0.01277297282	Doc_Liver_d10	0.8762001753197168
Ripor2	R3hdm2	0.012723016139999998	Doc_Liver_d10	0.9413974824807537
Ripor2	Eif2s1	0.01272288826	Doc_Liver_d10	0.8617485651163052
Myo1f	Ccnl1	0.012721907269999999	Doc_Liver_d10	0.9341286199366429
Stk38	Ppm1a	0.01272167108	Doc_Liver_d10	0.7799417531399089
Tmem71	Paxbp1	0.01267425787	Doc_Liver_d10	0.9949396767992064
Ripor2	Ktn1	0.012630675900000003	Doc_Liver_d10	0.8883365259564922
Pim1	Txnrd1	0.01259013122	Arm_Liver_d10	0.01936417130266961
Ripor2	Copa	0.01254661801	Doc_Liver_d10	0.9400373328589817
S1pr1	Thoc2	0.01247547599	Doc_Liver_d10	1.0844489022159365
