target	regulator	weight	condition	effect
Pim1	Ripk1	0.08877159741	Arm_Liver_d10	0.17787699969755855
Pim1	Trdc	0.06444887614	Arm_Liver_d10	-0.07012410656629586
Rasgrp1	Sap30l	0.03862515366	Doc_Liver_d10	0.9261180844948838
Selplg	Snx2	0.03654483457	Doc_Liver_d10	0.9433943902323985
Pim1	Pcsk7	0.03384077394	Arm_Liver_d10	-0.08543992791707368
Pim1	Il7r	0.033364928860000004	Arm_Liver_d10	0.24669600049742252
Cd52	Fosb	0.03250290363	Arm_Liver_d10	-0.06305305928435155
Pim1	Clip1	0.03182957935	Arm_Liver_d10	0.12319190068819035
Pim1	Ass1	0.030140995309999995	Arm_Liver_d10	0.06442694703382071
Ripor2	Vim	0.029881881849999996	Doc_Liver_d10	0.9067346570252544
Ripor2	Dera	0.029290506930000005	Doc_Liver_d10	0.8727872912419857
Tmem71	Ppp2r1a	0.02923452082	Doc_Liver_d10	1.1541124813799617
Stk38	Usp9x	0.029145995459999997	Doc_Liver_d10	0.8661246090357868
Klf3	Crot	0.02656040804	Doc_Liver_d10	0.8503015639251398
Sh2d1a	Jun	0.02593406884	Arm_Liver_d10	0.32083453576908283
Pim1	Brms1	0.025326331320000006	Arm_Liver_d10	-0.0036476111341821322
Psmb9	Zfp36	0.02355591677	Arm_Liver_d10	0.11257035870315228
Myo1f	Ctsa	0.023229532100000002	Doc_Liver_d10	0.8038106574197629
Slco3a1	Hsbp1	0.02286050676	Doc_Liver_d10	0.892314927600468
Pim1	Sec63	0.022856827079999996	Arm_Liver_d10	0.11795202681066404
Klf3	Igtp	0.02237250793	Doc_Liver_d10	0.8821235638036408
Klhl6	Snx3	0.02224809313	Doc_Liver_d10	0.8692188802496783
Ripor2	Tespa1	0.02213289223	Doc_Liver_d10	0.8380982641644681
Rasgrp1	Wbp4	0.021945554550000003	Doc_Liver_d10	0.8937285235486125
Ly6a	Ppp1r15a	0.02168977074	Arm_Liver_d10	0.39521205414963195
Klf2	Smarce1	0.021660789530000002	Doc_Liver_d10	1.1199985696632209
Klhl6	Rbm17	0.02150451487	Doc_Liver_d10	0.8818030318755895
Satb1	Hopx	0.020943855259999998	Doc_Liver_d10	0.8489383610622016
S1pr4	Ctss	0.02088067323	Doc_Liver_d10	0.9869019194495074
Pim1	Lrrc8c	0.020439438860000003	Arm_Liver_d10	0.008166037017231039
Satb1	Ezh2	0.020410848059999997	Doc_Liver_d10	0.8494952835569489
S1pr4	Ifi203	0.02035626252	Doc_Liver_d10	0.9845391263000224
S1pr4	Smndc1	0.020202657970000003	Doc_Liver_d10	1.0026479867821703
Slco3a1	Hectd1	0.020197246109999994	Doc_Liver_d10	0.9520838686587224
Rasgrp1	Gata3	0.02009470076	Doc_Liver_d10	0.735904568202425
S1pr1	Ehd3	0.01984285856	Doc_Liver_d10	1.1136316798057262
Klf2	Ubn2	0.019430116060000002	Doc_Liver_d10	0.9690292767854176
Sdf4	Ppp1r15a	0.01919834981	Arm_Liver_d10	0.43145070717256967
Il7r	Tmem50a	0.018714537580000003	Doc_Liver_d10	1.077844118871148
Stk38	Igtp	0.018604486910000002	Doc_Liver_d10	0.7460808921148394
Psmb9	Fosb	0.01815100422	Arm_Liver_d10	-0.011567087907853827
Klhl6	Washc4	0.01810392379	Doc_Liver_d10	0.7689861975752578
Tmem71	Iscu	0.0180779101	Doc_Liver_d10	1.0894007654231375
Satb1	Exosc7	0.017978911	Doc_Liver_d10	0.8712590056907754
Selplg	Ddx54	0.01757902158	Doc_Liver_d10	0.9459224994715835
Il7r	Phc3	0.01756983649	Doc_Liver_d10	0.9748209301343495
Ccl5	Resf1	0.017557150940000002	Doc_Liver_d10	1.4524535008534474
Satb1	Cyc1	0.017537367650000003	Doc_Liver_d10	0.9524709177000413
Ripor2	Keap1	0.017452897000000002	Doc_Liver_d10	0.8064416063032563
Selplg	Resf1	0.017430437469999997	Doc_Liver_d10	0.963770734178753
Gm2682	Jun	0.017375708519999998	Arm_Liver_d10	0.2935946845042349
Pim1	Cybc1	0.01733231488	Arm_Liver_d10	-0.13683009277301936
Slco3a1	Dgkz	0.01669751129	Doc_Liver_d10	0.8923921315460209
S1pr4	Ccpg1	0.016283023969999998	Doc_Liver_d10	1.01213422417772
