target	regulator	weight	condition	effect
Ccl5	Nkg7	0.0258698343	Arm_Spleen_d10	1.2007109722921172
Ccl5	Poglut1	0.025785510560000002	Arm_Spleen_d10	0.5972931312210079
Pglyrp2	Hectd3	0.02335564588	Doc_Spleen_d10	0.7165178037380465
Rasgrp1	Uba3	0.022393844779999998	Doc_Spleen_d10	0.625896874443695
Cd96	Arl4d	0.02149729253	Doc_Spleen_d10	0.13753565524514322
Rasgrp1	Atr	0.02070363802	Doc_Spleen_d10	0.5904269588557625
Adgre5	Dnajb4	0.020392851290000003	Doc_Spleen_d10	0.33748480743924736
Sit1	Adap1	0.01886334223	Doc_Spleen_d10	0.47485228460885687
Hopx	Inpp4a	0.01849042167	Doc_Spleen_d10	0.4752473828424586
Txk	C330011M18Rik	0.01831870221	Doc_Spleen_d10	0.5557177616117341
Arl4c	Pofut1	0.018042328429999997	Doc_Spleen_d10	0.6784080092477095
Arl4c	Tox4	0.01793265916	Doc_Spleen_d10	0.9725649201795735
Arl4c	Amn1	0.01753713628	Doc_Spleen_d10	0.6325711187142177
Pglyrp2	Urm1	0.01689154359	Doc_Spleen_d10	0.696620307905779
Dipk1a	Tmem115	0.01670748273	Doc_Spleen_d10	0.36055469558052256
Arl4c	Med14	0.01596585966	Doc_Spleen_d10	0.6684713633492246
Adgre5	Adcy7	0.015893914789999998	Doc_Spleen_d10	0.5800905837966015
Pglyrp2	Med27	0.01589247439	Doc_Spleen_d10	0.5686006206963776
Itgb7	Rcor3	0.01582329249	Doc_Spleen_d10	0.5567665949147231
Slc20a1	Dusp1	0.015461222019999998	Doc_Spleen_d10	0.2328359633525706
Actn1	Abl2	0.01523211619	Doc_Spleen_d10	0.4070247585646888
Cd96	Samd4b	0.014647966739999999	Doc_Spleen_d10	0.6779295030798295
Arl4c	Cdc42se2	0.014551510819999999	Doc_Spleen_d10	1.133567783626598
Arl4c	Errfi1	0.01432087688	Doc_Spleen_d10	0.5507399765229224
Dipk1a	Thada	0.014228911010000001	Doc_Spleen_d10	0.5859484785978317
Tesc	Siva1	0.014042114220000002	Doc_Spleen_d10	0.54115609862034
Sit1	Smox	0.013752424	Doc_Spleen_d10	0.40133547369548545
Itgb7	Sdcbp2	0.013444797349999999	Doc_Spleen_d10	0.6624879522787408
Tesc	Oat	0.013371482379999999	Doc_Spleen_d10	0.49699669315789996
Arl4c	Rcor3	0.01329176564	Doc_Spleen_d10	0.8071825501718972
Arl4c	Uap1l1	0.01297655953	Doc_Spleen_d10	0.7676873283548848
Actn1	Camta2	0.012806154239999997	Doc_Spleen_d10	0.6080261440249699
Dipk1a	Gpr180	0.01266756011	Doc_Spleen_d10	0.5015125637955051
Pglyrp2	Ranbp3	0.012572319259999997	Doc_Spleen_d10	0.6507660888451959
Sidt1	Cox11	0.01240289695	Doc_Spleen_d10	0.4829762774899295
Sidt1	Leng1	0.012391572419999998	Doc_Spleen_d10	0.5577659077952247
Pglyrp2	Pnpla2	0.01233928375	Doc_Spleen_d10	0.8456842398368594
Arl4c	Dnajc13	0.012283948620000002	Doc_Spleen_d10	0.9203854380662465
Sidt1	Psmf1	0.012193604529999999	Doc_Spleen_d10	0.539131557050776
Arl4c	Slc10a7	0.01204672046	Doc_Spleen_d10	0.7195853897716615
Slc20a1	Bicral	0.01201654312	Doc_Spleen_d10	0.8500652551044484
Arl4c	Wipf2	0.01154514409	Doc_Spleen_d10	0.929879846364478
Dipk1a	Cdip1	0.011536644109999999	Doc_Spleen_d10	0.6327806458564093
Sit1	Fam210b	0.01145213055	Doc_Spleen_d10	0.4705838261368385
Ccl5	Selplg	0.01132764733	Arm_Spleen_d10	1.3049532267213357
Dipk1a	Zc3h8	0.01130605941	Doc_Spleen_d10	0.36079656569082597
Arl4c	Commd8	0.01128662926	Doc_Spleen_d10	0.8990610492100318
Arl4c	A930024E05Rik	0.01126832117	Doc_Spleen_d10	0.6716410943567604
Rasgrp1	Stt3b	0.011189877630000001	Doc_Spleen_d10	0.6600525663937071
Arl4c	Gm11110	0.011054299049999999	Doc_Spleen_d10	0.6297920121563534
Actn1	Dnaaf2	0.010806269359999999	Doc_Spleen_d10	0.41628521241266914
Arl4c	Zfp182	0.01071870724	Doc_Spleen_d10	0.7637318299257251
Arl4c	Snx20	0.01068517481	Doc_Spleen_d10	0.9550223569558978
Arl4c	Filip1l	0.0106786135	Doc_Spleen_d10	0.6833657438100789
Arl4c	Ppp2cb	0.010616022159999999	Doc_Spleen_d10	0.7715627687583968
Pglyrp2	Armc8	0.01059543487	Doc_Spleen_d10	0.6496278079480083
Gm2682	B930036N10Rik	0.010590720179999999	Doc_Spleen_d10	0.45344493886029397
Cd96	Mrpl37	0.010547818189999999	Doc_Spleen_d10	0.5581200004427604
Actn1	Mroh1	0.01043640461	Doc_Spleen_d10	0.5394777432751297
Cd96	Smpd1	0.01016900768	Doc_Spleen_d10	0.5305384979712923
Sit1	Setd4	0.01016835851	Doc_Spleen_d10	0.428131940185207
Actn1	Cdc42ep3	0.01011728908	Doc_Spleen_d10	0.45613715004844374
Txk	Rc3h1	0.01007702442	Doc_Spleen_d10	0.6773252953051276
Itgb7	Brip1os	0.01007299067	Doc_Spleen_d10	0.49931311087337965
Itgb7	Sh2b3	0.01000202598	Doc_Spleen_d10	0.5288802315565497
Slc20a1	Ulk2	0.009966534189999997	Doc_Spleen_d10	0.7195730098769743
Dipk1a	Rbm10	0.009877809800000002	Doc_Spleen_d10	0.6886409784193855
Arl4c	Gtf2a1	0.00985095504	Doc_Spleen_d10	0.8110530429356921
Myo1f	Dennd2d	0.00983667665	Doc_Spleen_d10	0.8004466528372839
Dipk1a	Tbxa2r	0.009705161940000002	Doc_Spleen_d10	0.40279653777060587
Sit1	Phactr4	0.00969109232	Doc_Spleen_d10	0.5243199093168555
Txk	Thoc5	0.00959380691	Doc_Spleen_d10	0.6686940632697445
Gm2682	Samd4b	0.00957608956	Doc_Spleen_d10	0.6557236335967861
Cd96	Zfp639	0.0095426702	Doc_Spleen_d10	0.5676231129649488
Arl4c	Lzic	0.009361215539999999	Doc_Spleen_d10	0.878616350547593
Rasgrp1	Fam210a	0.009322345280000002	Doc_Spleen_d10	0.5131486284978205
Dipk1a	Arl14ep	0.0092731635	Doc_Spleen_d10	0.4221312296354048
Hopx	Dtx1	0.00922429805	Doc_Spleen_d10	0.5451052262119174
Actn1	Klhl36	0.0092176833	Doc_Spleen_d10	0.3883166388844907
Arl4c	Tbcel	0.009191596440000002	Doc_Spleen_d10	0.7242794386267425
Gm2682	Pias1	0.009169265049999998	Doc_Spleen_d10	0.6510602071921154
Hopx	D830050J10Rik	0.00911847098	Doc_Spleen_d10	0.5051888366959597
Cd96	Traf2	0.00911744878	Doc_Spleen_d10	0.5683811163754877
Txk	Mpg	0.0091078564	Doc_Spleen_d10	0.623282180852482
Arl4c	Sacs	0.00905415963	Doc_Spleen_d10	0.762312526480465
Adgre5	Sco2	0.009002786830000001	Doc_Spleen_d10	0.3281368414149702
Pglyrp2	Mpnd	0.008980179449999999	Doc_Spleen_d10	0.5293314542961661
Dipk1a	Orc2	0.00896606158	Doc_Spleen_d10	0.5162355688428872
Tesc	Capg	0.00888587423	Doc_Spleen_d10	0.5784537708277435
Satb1	Pbx2	0.00881839585	Doc_Spleen_d10	0.6809796739201525
Gm2682	Pip5k1c	0.008758530979999998	Doc_Spleen_d10	0.6220186034026136
Itgb7	Fam118a	0.00875316084	Doc_Spleen_d10	0.4644281927039509
Tmem154	Entpd6	0.008711745449999999	Doc_Spleen_d10	0.7050911272838707
Cd96	Tbc1d23	0.008699341760000001	Doc_Spleen_d10	0.551124299009485
Hopx	Vps37b	0.00869907892	Doc_Spleen_d10	0.6150786805516613
Pglyrp2	Ralbp1	0.008667395880000001	Doc_Spleen_d10	0.7879533760378334
Gm2682	Atr	0.00863137027	Doc_Spleen_d10	0.5195502390728225
Arl4c	Senp5	0.008605172210000001	Doc_Spleen_d10	0.9086528388915979
Myo1f	Upf1	0.00859762619	Doc_Spleen_d10	0.6839817137837643
Txk	Ppm1d	0.008576946030000001	Doc_Spleen_d10	0.7096234724049194
